id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_days(how many days since home is as airbnb),first_reviewed(how many days between first review to last scraped date),last_reviewed(how many days between last review to last scraped date)
20265888,1,1,0.99,0,9,9,1,1,38.89312,-76.99792,Entire apartment,Entire home/apt,2,1,1,1.707570176,1,29,1,2,1125,1125,1,1125,1,9,37,65,150,86,18,3,94,9,9,10,10,10,10,1,8,7,1,0,2.19,2399,1175,22
20277898,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.90081,-77.0105,Private room in apartment,Private room,2,1,1,1.929418926,1,1125,1,1,1125,1125,1,1125,1,0,0,0,0,4,0,0,95,10,10,10,10,10,10,1,1,0,1,0,0.1,2112,1149,1144
20279054,1,1,1,1,1,1,1,1,38.92646,-77.03617,Private room in apartment,Private room,1,1,1,1.698970004,7,1125,7,7,1125,1125,7,1125,1,0,0,21,296,27,1,0,93,10,9,10,10,10,9,1,1,0,1,0,0.71,1175,1143,57
20279304,1,1,0.97,1,1,1,1,1,38.93643,-77.02865,Entire apartment,Entire home/apt,4,1,3,1.897627091,2,20,2,2,1125,1125,2,1125,1,18,21,21,23,225,43,5,99,10,10,10,10,10,10,0,1,1,0,0,5.77,2512,1169,5
20280070,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.91714,-77.04569,Entire apartment,Entire home/apt,2,1,1,1.857332496,20,1125,20,20,1125,1125,20,1125,1,0,0,0,0,6,0,0,87,9,9,10,10,9,9,0,1,1,0,0,0.16,3621,1126,723
20294927,1,1,0.64,1,2,2,1,1,38.94489,-77.01958,Entire guest suite,Entire home/apt,2,1,1,2.06069784,30,1125,30,30,1125,1125,30,1125,1,0,24,54,234,16,0,0,100,10,10,10,10,10,10,0,1,1,0,0,0.42,2316,1133,565
20299513,1.575428333,0.917160468,0.75,0,1,1,1,0,38.8975,-76.98081,Entire townhouse,Entire home/apt,6,3,3,2.149219113,3,31,3,3,1125,1125,3,1125,1,0,0,0,0,16,1,0,93,9,10,10,10,8,9,0,1,1,0,0,0.54,2152,894,251
20302085,1.575428333,0.917160468,0.877953436,0,8,8,1,1,38.9064,-77.03054,Entire apartment,Entire home/apt,3,1,1,2.217483944,3,1125,3,3,1125,1125,3,1125,1,0,0,0,0,4,0,0,100,10,10,10,10,10,10,1,8,8,0,0,0.11,1808,1136,1105
20303609,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.91946,-77.03432,Entire condominium,Entire home/apt,4,1,1,2.176091259,1,1125,1,2,1125,1125,1,1125,1,0,0,0,0,7,0,0,93,10,9,10,10,10,10,0,1,1,0,0,0.18,2199,1147,1041
20320085,3,0.5,0.877953436,0,4,4,1,1,38.87576,-77.0051,Entire serviced apartment,Entire home/apt,4,1,1,2.413299764,10,180,10,10,180,180,10,180,1,30,60,90,365,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,1,1,1,0,0,1.531997805,2288,1028.445847,337.1802049
20321277,1,0.9,0.95,0,2,2,1,1,38.92038,-77.01341,Private room in townhouse,Private room,2,1,1,1.892094603,1,60,1,1,60,60,1,60,1,30,60,90,365,20,0,0,100,10,10,10,10,10,10,0,2,0,2,0,0.53,2705,1140,372
20335682,1.575428333,0.917160468,1,1,1,1,1,1,38.88421,-77.00651,Entire townhouse,Entire home/apt,8,3,3,2.57863921,2,60,2,2,60,60,2,60,1,0,0,0,7,72,10,0,99,10,10,10,10,10,10,1,1,1,0,0,2.18,2160,990,237
20344650,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.89574,-76.99145,Entire apartment,Entire home/apt,5,2,2,1.698970004,2,1125,2,2,1125,1125,2,1125,1,0,0,0,0,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,0,1,1,0,0,1.531997805,1944,1028.445847,337.1802049
20347049,1.575428333,0.917160468,1,1,1,1,1,1,38.88782,-76.99129,Entire townhouse,Entire home/apt,4,1,1,2.161368002,7,1125,7,7,1125,1125,7,1125,1,0,3,33,53,31,4,0,100,10,10,10,10,10,10,0,1,1,0,0,0.95,2501,979,223
20358943,1,1,1,1,1,1,1,1,38.88676,-76.98112,Entire apartment,Entire home/apt,4,1,1,2.053078443,3,1125,3,3,1125,1125,3,1125,1,12,29,53,141,58,9,0,97,10,10,10,10,10,10,1,1,1,0,0,1.51,1174,1154,43
20359869,1.575428333,0.917160468,0.877953436,0,1,1,1,0,38.91263,-77.04806,Private room,Private room,1,1,1,1.698970004,1,7,1,1,7,7,1,7,1,0,0,0,0,2,0,0,100,10,9,10,10,10,10,1,1,0,1,0,0.05,1172,1165,1164
20360072,1,1,0.93,1,1,1,1,1,38.87192,-76.97023,Entire apartment,Entire home/apt,4,2,2,2.365487985,1,1125,1,2,1125,1125,1,1125,1,0,0,0,0,81,8,0,98,10,10,10,10,9,10,1,1,1,0,0,2.16,1172,1125,41
20369462,1.575428333,0.917160468,0.877953436,0,1,1,1,1,38.91971,-77.0798,Entire apartment,Entire home/apt,2,1,1,1.903089987,1,6,1,2,6,6,1.3,6,1,0,0,0,0,27,0,0,99,10,10,10,10,9,10,1,1,1,0,0,0.7,2358,1160,384
20403640,1,1,1,0,1,1,1,0,38.95596,-77.02416,Entire house,Entire home/apt,10,5,5,2.298853076,5,180,5,5,1125,1125,5,1125,1,30,60,81,295,86,14,1,96,9,10,10,10,9,9,1,2,1,1,0,2.25,1276,1147,2
20403766,1,1,1,1,3,3,1,1,38.90698,-77.04627,Entire house,Entire home/apt,7,2,4,2.1430148,2,1125,2,2,1125,1125,2,1125,1,23,53,73,163,154,38,0,95,10,10,10,10,10,9,1,3,3,0,0,3.95,2054,1168,34
20412315,1.575428333,0.917160468,0.877953436,0,2,2,1,0,38.91714,-77.03855,Private room in apartment,Private room,2,1,1,1.903089987,4,30,4,4,1125,1125,4,1125,1,0,0,0,0,33,0,0,97,10,9,10,10,10,10,0,2,1,1,0,0.88,3181,1121,448
20422457,1.575428333,0.917160468,0.86,1,2,2,1,1,38.93219,-77.03855,Private room in apartment,Private room,1,1,1,1.698970004,3,31,3,3,1125,1125,3,1125,1,0,0,0,0,52,8,0,97,10,9,10,10,10,10,0,2,0,2,0,1.36,2448,1149,223
20422949,1.575428333,0.917160468,0.877953436,0,1,1,1,0,38.89037,-76.98762,Private room in townhouse,Private room,1,1.449906367,1,1.698970004,2,7,2,2,7,7,2,7,1,0,0,0,0,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,1,1,0,1,0,1.531997805,1182,1028.445847,337.1802049
20424260,1,0.77,0.97,0,4,4,1,1,38.94725,-77.07156,Entire house,Entire home/apt,8,4,5,2.318063335,2,1125,2,3,1125,1125,2.1,1125,1,14,37,44,44,126,37,4,93,9,9,10,10,10,9,1,1,1,0,0,3.4,2690,1112,10
20432523,1.575428333,0.917160468,1,1,3,3,1,1,38.90152,-76.98178,Entire house,Entire home/apt,7,2,3,2.176091259,4,120,4,4,120,120,4,120,1,0,0,0,0,2,0,0,100,10,9,10,10,10,10,1,1,1,0,0,0.06,2458,1074,1063
20434997,1.575428333,0.917160468,1,0,1,1,1,1,38.90641,-77.02726,Entire condominium,Entire home/apt,4,2,2,2.173186268,3,7,3,3,7,7,3,7,1,0,0,0,0,11,1,0,100,10,10,10,10,10,10,0,1,1,0,0,0.29,1798,1150,332
20437419,2,1,0.74,0,5,5,1,1,38.96722,-77.02546,Private room in house,Private room,2,1,1,1.812913357,4,730,4,4,730,730,4,730,1,30,60,90,365,6,4,0,93,10,10,10,10,10,10,0,5,0,5,0,0.16,2571,1120,117
20437717,2,1,0.98,1,2,2,1,1,38.90535,-77.06073,Private room in house,Private room,3,1,1,1.944482672,1,45,1,1,1125,1125,1,1125,1,30,60,90,90,188,19,0,97,10,10,10,10,10,9,1,2,0,2,0,4.84,3748,1164,57
20438692,2,1,0.98,1,2,2,1,1,38.90764,-77.06207,Private room in house,Private room,3,1,1,1.944482672,1,45,1,1,1125,1125,1,1125,1,30,60,90,90,149,13,0,97,10,10,10,10,10,9,1,2,0,2,0,3.88,3748,1150,226
20442382,1.575428333,0.917160468,0.877953436,0,2,2,1,0,38.91704,-77.04255,Entire apartment,Entire home/apt,2,1,1,1.913813852,4,1125,4,4,1125,1125,4,1125,1,0,0,0,0,7,0,0,97,10,10,10,10,10,10,0,2,1,1,0,0.18,3326,1145,679
20451564,1.575428333,0.917160468,0.73,1,3,3,1,1,38.92691,-77.06932,Private room in house,Private room,2,1,1,2.278753601,1,10,1,1,10,10,1,10,1,29,59,89,364,71,0,0,99,10,10,10,10,10,10,0,3,0,3,0,1.83,2227,1161,517
20452932,3,0.7,0.96,0,2,2,1,0,38.91434,-77.01554,Entire apartment,Entire home/apt,4,1,1,1.924279286,1,1125,3,3,1125,1125,3,1125,1,26,56,86,86,149,14,0,94,9,9,10,9,9,9,0,2,2,0,0,3.94,1683,1134,69
20461027,1,0.96,0.97,0,37,37,1,1,38.88535,-76.99393,Entire house,Entire home/apt,6,2,5,2.447158031,3,365,3,5,365,365,3,365,1,0,0,20,295,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,0,35,35,0,0,1.531997805,4177,1028.445847,337.1802049
20461139,1,0.96,0.97,0,37,37,1,1,38.90749,-77.04734,Entire house,Entire home/apt,6,3,3,2.542825427,3,365,3,5,365,365,3.2,365,1,0,0,0,101,21,0,0,92,10,9,9,9,10,9,1,35,35,0,0,0.59,4177,1073,383
20465057,1.575428333,0.917160468,0.86,0,1,1,1,1,38.86585,-76.97933,Private room in house,Private room,2,1,2,1.77815125,2,9,2,2,9,9,2,9,1,0,0,21,111,23,7,0,100,10,10,10,10,9,10,0,1,0,1,0,0.62,3626,1117,225
20469824,2,1,1,1,1,1,1,0,38.92213,-76.99104,Entire guest suite,Entire home/apt,4,2,2,2.079181246,2,60,2,2,60,60,2,60,1,22,23,41,131,73,10,0,98,10,10,10,10,9,10,0,1,1,0,0,2.29,1518,955,46
20478088,2,1,0.96,1,3,3,1,1,38.89342,-76.9939,Entire house,Entire home/apt,6,2,2,2.149219113,2,1125,2,2,1125,1125,2,1125,1,0,1,22,22,123,19,0,98,10,9,10,10,10,10,0,3,3,0,0,3.19,1717,1154,41
20483028,1.575428333,0.917160468,0.877953436,0,1,1,1,0,38.92032,-77.03146,Entire loft,Entire home/apt,2,1,1,2,365,1000,365,365,1000,1000,365,1000,1,0,0,0,0,0,0,0,95.20402085,9.730007474,9.55754858,9.840875093,9.820254111,9.698765894,9.535640786,0,1,1,0,0,1.531997805,1956,1028.445847,337.1802049
20498055,1,0.99,0.98,1,60,60,1,1,38.89185,-76.98895,Entire apartment,Entire home/apt,6,1,3,2.075546961,2,89,2,7,89,89,2.4,89,1,0,3,33,123,110,24,0,96,10,10,10,10,10,10,0,50,50,0,0,2.87,1836,1147,44
20498322,1.575428333,0.917160468,1,0,2,2,1,1,38.89627,-76.97762,Private room in townhouse,Private room,1,1,1,1.897627091,30,90,30,30,90,90,30,90,1,0,0,0,0,3,0,0,100,10,10,10,10,9,10,0,2,1,1,0,0.08,1625,1154,847
